LeagueIndex,Age,HoursPerWeek,TotalHours,APM,WorkersMade
Platinum,24,24,303,72.069,0.0010753
Silver,20,10,50,43.3884,0.00065007
Master,23,28,1200,111.759,0.00075318
Silver,23,12,100,45.3894,0.000797
Diamond,19,30,1825,147.1572,0.0023353
Platinum,26,12,500,82.9908,0.00084158
Platinum,18,10,600,58.947,0.00068654
Gold,23,8,96,82.458,0.00053051
Bronze,22,10,30,43.779,0.00071886
Bronze,20,4,250,44.0304,0.00027617
Gold,21,10,350,95.8032,0.0010454
Silver,21,18,200,77.3832,0.0010984
Bronze,28,6,100,68.214,0.00099846
Gold,19,28,100,86.1144,0.00057274
Diamond,24,8,800,180.282,0.0014101
Platinum,16,10,360,156.0678,0.0018828
Diamond,18,28,600,139.9266,0.00094861
Master,20,12,250,169.0608,0.0015293
Platinum,16,12,450,119.1558,0.00085472
Platinum,24,4,300,100.5552,0.0012352
Gold,17,8,120,69.5898,0.0005284
Silver,21,10,150,73.6266,0.0010665
Master,23,28,1260,240.7638,0.0029456
Diamond,26,16,250,100.3596,0.00069525
Diamond,24,20,700,148.9158,0.0022652
Platinum,17,20,500,61.8882,0.00074105
Master,24,20,1000,94.0662,0.00081764
Silver,16,6,450,97.482,0.00049909
Platinum,20,30,700,91.1646,0.00067914
Silver,18,24,300,65.8302,0.00086137
Gold,23,6,650,93.6108,0.00091005
Platinum,16,16,184,113.9904,0.0015393
Gold,23,16,300,125.7312,0.00097425
Master,22,10,600,151.8984,0.00053667
Diamond,23,14,800,104.3874,0.0014988
Platinum,19,28,4000,194.1858,0.0009248
Platinum,20,8,400,109.968,0.001277
Master,18,12,420,193.3734,0.0012346
Gold,22,20,300,63.7248,0.001151
Master,20,6,800,116.1894,0.0015113
Platinum,22,10,350,130.2162,0.00087152
Platinum,21,12,350,69.9006,0.00072774
Gold,20,6,1000,61.467,0.00038827
Diamond,25,28,1300,132.0822,0.0031984
Platinum,27,4,50,46.7628,0.00052282
Diamond,25,4,300,94.7148,0.0011785
Diamond,18,24,700,91.3014,0.00086646
Silver,17,16,400,79.2378,0.001385
Diamond,21,6,500,85.7514,0.00054896
Diamond,19,20,730,161.0184,0.00088701
Silver,18,8,220,89.8518,0.0012045
Master,21,28,1100,118.8882,0.00038467
Platinum,22,12,400,100.1172,0.00082044
Master,16,12,1000,149.8014,0.002207
Silver,22,30,700,82.9572,0.00071133
Silver,22,12,60,105.9774,0.00038687
Gold,27,28,300,102.8652,0.00086465
Gold,25,8,700,78.8676,0.00068802
Gold,19,6,100,101.598,0.00061677
Gold,23,30,400,97.1082,0.00058168
Gold,18,20,500,119.8566,0.0011565
Platinum,19,2,10,55.9674,0.0005618
Platinum,18,10,700,48.5016,0.00097487
Diamond,24,12,350,105.0174,0.00081596
Diamond,20,8,450,102.8466,0.00099739
Platinum,24,8,250,80.088,0.00051573
GrandMaster,25,42,2400,182.6208,0.0011641
Gold,18,6,180,90.2904,0.00080465
Platinum,16,14,730,111.753,0.00065365
Platinum,22,10,1000,87.9012,0.0013171
Master,24,30,2160,192.9342,0.0010726
Master,19,10,350,104.1918,0.00094192
Gold,17,20,80,48.8586,0.00070832
Gold,19,14,900,91.0182,0.00064756
Silver,16,10,10,32.673,0.00085426
Diamond,22,20,1260,132.1734,0.00094243
Platinum,19,6,200,90.2976,0.00045654
Diamond,21,16,300,115.2306,0.0010778
Gold,22,12,25,90.6156,0.00056255
Platinum,20,24,800,116.7888,0.0008929
Platinum,20,10,700,99.3978,0.0011623
Master,17,16,624,138.3468,0.00080952
Platinum,20,28,700,57.0798,0.00036451
Platinum,23,36,2000,98.4858,0.00067142
Diamond,20,40,5000,84.7086,0.0012547
Master,18,24,650,188.862,0.0016093
Bronze,28,8,176,69.1182,0.00066597
Bronze,24,16,60,25.6062,0.00039338
Diamond,19,2,400,117.1998,0.00099985
Platinum,20,4,500,84.9,0.00078643
Gold,26,6,300,56.1744,0.00076126
Silver,21,8,100,84.2382,0.00046796
Silver,25,12,400,105.8694,0.00076637
Silver,25,10,1000,51.0624,0.00060073
Platinum,28,16,300,40.4076,0.00050413
Silver,19,8,300,66.093,0.00051633
Diamond,31,4,750,205.3416,0.0016086
Gold,16,10,200,76.6992,0.00068274
Platinum,24,14,450,98.0592,0.0014465
Gold,26,24,120,85.4424,0.0012105
Platinum,17,8,1000,99.5586,0.00061861
Platinum,20,8,200,115.488,0.0015521
Platinum,26,2,300,81.336,0.00052508
Platinum,25,2,80,90.867,0.00082958
Diamond,17,20,0,94.4724,0.0007634
Diamond,18,24,1200,95.6406,0.00089472
Silver,22,8,35,68.9142,0.00076911
Bronze,22,16,400,38.3274,0.00061797
Diamond,24,8,400,129.7716,0.0014241
Diamond,24,16,1163,119.6022,0.00079991
Silver,23,10,600,50.6784,0.0004333
Gold,18,20,300,62.0088,0.00081527
Silver,18,20,450,84.024,0.00034558
Gold,18,24,200,52.3524,0.00036114
GrandMaster,19,56,1700,130.86,0.00093232
Master,20,42,2500,86.5962,0.0010293
Diamond,24,4,200,122.8368,0.0013596
Platinum,28,20,730,83.6676,0.00079576
Platinum,33,8,800,58.7574,0.0006158
Platinum,18,10,333,75.3276,0.00043342
Platinum,21,6,300,74.2986,0.00072086
Platinum,20,8,650,72.4332,0.0004958
Platinum,18,18,600,77.5416,0.00075696
Master,17,42,1000,121.2732,0.0013193
Silver,19,6,75,57.7854,0.00096575
Bronze,18,14,100,50.1,0.00099035
Gold,18,12,700,64.77,0.00059804
Diamond,18,28,730,113.8716,0.0010584
Platinum,22,6,450,69.2034,0.00059118
Bronze,19,10,50,61.6098,0.00048681
Platinum,20,20,100,89.091,0.0007329
Gold,26,14,1000,77.913,0.00030584
Gold,20,20,800,66.8904,0.00069283
Silver,16,42,650,76.1514,0.0005501
Silver,23,2,100,57.9072,0.00047081
Master,19,28,700,116.7852,0.0013005
Platinum,21,16,450,132.7152,0.0018311
Master,22,6,250,123.8388,0.001265
Platinum,20,24,450,151.6686,0.00097741
Gold,18,28,800,133.4148,0.0014689
Bronze,26,8,50,31.33314,0.00016596
Diamond,16,24,1400,116.4402,0.001239
Platinum,23,16,400,117.417,0.0017195
Silver,27,8,200,94.0176,0.00078046
Master,21,4,800,168.3252,0.0014582
Platinum,18,28,700,79.5828,0.00084957
Gold,22,6,250,84.7632,0.00055094
Diamond,16,6,650,99.9996,0.0012145
Platinum,16,2,7,111.3582,0.0015308
Platinum,22,20,500,160.8168,0.0018835
Platinum,27,6,350,80.334,0.00085415
Master,21,14,700,135.975,0.0010902
Silver,35,8,500,54.0468,0.00083245
GrandMaster,23,24,1400,203.9028,0.0024856
Master,18,6,300,88.0428,0.0012706
Bronze,26,4,230,68.1048,0.00061152
Silver,17,16,250,50.0004,0.00038902
Gold,18,2,500,61.7034,0.00047049
Silver,17,20,200,68.1786,0.00034762
Gold,18,6,40,72.9252,0.0007132
Gold,19,20,1000,61.875,0.00056825
Gold,33,6,365,51.1932,0.00096125
Gold,20,24,325,137.3052,0.00073176
Master,17,6,60,167.1966,0.0016061
Bronze,18,42,600,41.037,0.0002677
Platinum,26,6,200,97.2954,0.00052362
Master,17,20,800,138.2802,0.0010631
Gold,19,28,480,120.9294,0.0011931
Gold,19,56,2500,119.9976,0.0012742
Diamond,28,16,700,110.4828,0.0017094
Master,23,10,800,166.4136,0.00098273
Master,17,14,750,167.8746,0.0010514
Platinum,16,4,300,101.9502,0.00096119
Gold,26,8,100,67.2912,0.00089529
Diamond,17,42,1600,90.0642,0.0010948
Diamond,17,24,800,149.7966,0.0012892
Silver,18,8,90,122.1162,0.0023379
Master,21,20,1000,156.1536,0.0010683
Gold,26,2,500,51.363,0.00054834
Diamond,21,42,700,93.3894,0.00099048
Master,20,20,2000,190.5678,0.00099459
Master,19,10,700,176.64,0.00060617
Platinum,22,12,600,130.0248,0.0012561
Platinum,16,8,190,105.4776,0.00068728
Gold,23,4,200,92.88,0.00098964
Master,22,16,700,96.2154,0.00071315
Bronze,17,70,400,82.0902,0.00035196
Platinum,21,8,30,52.3392,0.00079567
Silver,32,6,150,49.3854,0.00092063
Platinum,19,16,900,96.2466,0.00078312
Master,18,28,700,142.3296,0.0013742
Platinum,21,10,150,126.1386,0.0012289
Silver,24,6,300,71.9574,0.00053213
Silver,30,4,500,59.1138,0.0006167
Platinum,21,6,175,73.0668,0.00048688
Platinum,28,12,900,52.311,0.00033602
Platinum,27,8,250,109.821,0.0016737
Master,19,28,800,161.4678,0.0009593
Silver,23,6,75,49.9362,0.00069945
Diamond,20,4,500,139.5132,0.0015502
Platinum,23,8,200,85.7502,0.0016891
Bronze,22,6,700,43.3638,0.00088962
Gold,22,24,800,91.4178,0.00072515
Platinum,19,6,88,156.1278,0.0015179
Diamond,16,14,500,109.5582,0.0013311
Diamond,29,6,1000,99.1416,0.0028939
Diamond,22,18,500,114.2598,0.0029806
Bronze,28,4,40,53.55,0.0013466
Master,20,12,700,102.0174,0.0010744
Platinum,19,10,200,133.911,0.0013321
Master,18,28,1000,286.5528,0.00151
Diamond,22,6,600,143.718,0.00089148
Master,17,36,900,131.8242,0.0013896
Diamond,19,4,350,168.9216,0.0016918
Platinum,21,16,60,66.8184,0.0010189
Silver,19,24,450,58.6338,0.00074785
Bronze,20,14,200,96.7374,0.001031
Silver,16,28,200,46.1016,0.00042323
Gold,16,24,730,101.6082,0.00053801
Diamond,22,28,250,124.026,0.0020677
Silver,21,10,400,68.6868,0.00073251
Gold,22,10,600,71.2914,0.00059626
Master,19,20,800,112.5,0.0011736
Silver,16,10,100,39.3804,0.0012665
Diamond,20,24,900,148.6884,0.00088102
Silver,40,14,500,51.8358,0.00078453
Gold,23,4,50,97.3866,0.00097928
Diamond,21,28,750,126.4902,0.00088417
Diamond,21,12,730,104.3202,0.0019153
Diamond,18,14,365,143.574,0.0018005
Gold,19,42,450,220.0692,0.0013555
Master,21,16,800,199.6008,0.00082717
Gold,20,10,100,45.5952,0.00065703
Diamond,18,8,250,89.5218,0.00053409
Platinum,17,20,1200,105.9162,0.00085214
Platinum,20,20,650,102.7356,0.00069717
Diamond,20,8,700,104.3286,0.0018812
Diamond,23,12,730,118.1706,0.00089198
Platinum,23,12,850,115.5006,0.0010526
Platinum,18,14,400,186.3234,0.0010185
Silver,18,8,26,94.5504,0.0010025
Diamond,24,24,500,102.5556,0.00060465
Master,22,24,1650,113.8248,0.0021315
Bronze,20,28,200,72.591,0.00048471
Platinum,18,20,2000,191.3154,0.0010477
Diamond,21,20,500,154.0044,0.0018699
GrandMaster,17,56,1600,202.0026,0.0011538
Master,22,8,1200,74.3238,0.00063954
Diamond,20,10,500,140.001,0.00097214
Bronze,22,16,200,55.203,0.00077122
Master,23,16,450,115.5252,0.00077688
Gold,22,20,150,69.0534,0.00074268
Silver,17,12,500,88.986,0.0013658
Platinum,22,20,400,167.4162,0.0010221
Platinum,20,14,700,156.1176,0.0012096
Diamond,22,16,250,118.9908,0.0020411
Platinum,23,30,2500,127.695,0.00059102
Gold,25,10,400,75.2358,0.0017872
Gold,22,6,40,121.6998,0.00040728
Master,26,24,800,129.5334,0.00096444
Silver,22,4,350,84.2604,0.00087704
Diamond,24,16,250,111.4068,0.0010936
Platinum,19,12,700,106.524,0.0009366
Platinum,18,8,50,74.8782,0.00083628
Diamond,17,28,1000,158.7498,0.00084679
Master,19,42,2500,147.96,0.0019338
Diamond,18,12,465,130.0014,0.0019896
Diamond,17,10,350,165.4494,0.0023718
Gold,20,10,300,123.8316,0.001276
Master,17,42,1000,106.5678,0.00070321
Diamond,31,8,300,110.193,0.0022572
Platinum,16,14,400,92.1222,0.00093936
Platinum,17,6,180,93.792,0.0012555
Platinum,23,10,300,139.1526,0.0022074
Master,23,2,600,98.8476,0.00072358
Master,21,10,600,114.384,0.00097485
Platinum,20,10,500,124.6932,0.0012127
Platinum,20,12,500,111.9798,0.0026823
Master,16,20,450,187.2972,0.0028468
Diamond,19,10,400,124.7598,0.0013676
Platinum,17,10,730,101.8224,0.00088893
Diamond,16,14,100,139.8594,0.00091075
Master,19,16,365,208.7706,0.0017197
Master,18,20,800,277.3212,0.0014888
Master,20,20,1000,149.13,0.0011306
Diamond,23,10,600,122.157,0.0003872
Platinum,19,6,150,130.0584,0.00096355
Diamond,22,8,500,120.0012,0.0012277
Platinum,20,24,600,86.2686,0.00077283
Diamond,21,6,200,143.6058,0.00079796
Gold,16,12,650,131.919,0.0009553
Diamond,21,20,1200,126,0.0014419
Platinum,22,12,600,190.3122,0.00080067
Bronze,19,8,300,104.4486,0.00061678
Silver,24,6,235,90.0018,0.00077513
Diamond,19,20,600,142.251,0.0013722
Gold,17,10,150,72.1848,0.00062132
Platinum,21,10,400,94.6278,0.0011821
Master,24,14,700,134.7282,0.0011002
Gold,24,6,400,62.2626,0.00044972
Platinum,19,12,500,97.8444,0.00043428
Bronze,16,12,100,61.5984,0.00061112
Bronze,25,24,300,43.4706,0.0007671
Diamond,20,10,500,182.1372,0.00082616
Diamond,21,20,600,89.0472,0.00051589
Gold,23,6,300,99.9426,0.00075681
Platinum,17,28,450,141.6522,0.0022158
Silver,20,10,75,127.8924,0.00101
Platinum,16,20,800,74.8812,0.00068075
Master,24,24,400,138.8046,0.0012619
Gold,18,4,200,81.708,0.0008881
Platinum,18,8,500,116.0994,0.0010961
Diamond,21,10,730,138.0774,0.0010895
Gold,28,42,1260,84.666,0.00089018
Gold,16,28,450,109.6626,0.00095202
Diamond,23,14,730,91.4838,0.00057458
Bronze,18,4,50,82.6356,0.0009356
Platinum,16,24,600,107.0124,0.00064141
Diamond,26,10,500,154.9242,0.0019508
Bronze,21,20,600,44.1438,0.00047864
Master,22,10,730,86.3388,0.00097379
Diamond,20,8,700,127.1574,0.0026366
Master,20,30,1500,89.358,0.00081869
Platinum,21,10,1000,100.4556,0.00084187
Master,20,6,730,130.2762,0.00076927
Diamond,18,24,800,91.8804,0.00091829
Master,17,24,1000,150.7794,0.0021715
Platinum,22,8,300,70.4238,0.0005618
Platinum,25,10,1200,76.3374,0.00065927
Gold,24,4,150,60.7368,0.00069058
Bronze,16,8,30,54.4656,0.00083522
Master,21,8,400,169.98,0.0010188
Diamond,18,2,350,121.4862,0.0012953
Gold,25,10,50,163.2084,0.00063532
Gold,21,12,500,68.1282,0.00068015
Master,20,28,800,104.4786,0.0010127
Platinum,17,4,250,83.49,0.00074157
Diamond,17,12,900,86.4228,0.0010087
Diamond,24,30,1260,142.212,0.00091866
Platinum,19,6,500,98.3154,0.0016105
Diamond,28,6,400,102.399,0.0017277
Silver,16,10,150,77.9862,0.0013162
Silver,24,16,500,64.8324,0.00052732
Bronze,34,12,150,49.1136,0.00099916
Platinum,19,36,1350,73.8144,0.00096505
Diamond,17,28,460,171.2124,0.00090042
Platinum,25,4,200,104.9742,0.0012347
Diamond,18,14,600,81.147,0.0015221
Platinum,18,28,650,67.3962,0.00093211
Platinum,22,4,150,74.4648,0.00074464
Platinum,23,14,200,111.2958,0.0017176
Diamond,22,24,500,135.8904,0.0013084
Gold,26,2,200,57.9156,0.00054435
Platinum,17,16,80,118.8174,0.00035927
Platinum,19,10,200,104.9094,0.0006112
Master,18,42,1000,145.98,0.0017723
Platinum,29,20,250,155.5602,0.00092046
Master,18,16,1000,169.8456,0.0010289
Platinum,18,12,350,122.8446,0.00085825
Gold,17,8,350,87.5772,0.0010987
Master,22,6,730,150.627,0.00089488
Diamond,20,24,360,175.5354,0.0015289
Gold,18,10,160,54.1056,0.00056092
Diamond,22,20,650,108.2772,0.00084386
Silver,18,12,700,133.2816,0.0020155
Diamond,20,6,350,110.7558,0.0011381
Diamond,18,18,800,144.9648,0.0014693
Master,27,6,1500,90.93,0.00088837
Diamond,19,16,500,122.667,0.00080265
Platinum,21,8,200,86.139,0.00058762
Master,22,28,1260,88.3788,0.0013411
Platinum,18,14,730,166.299,0.0015353
Gold,22,4,300,90.4908,0.00061655
Diamond,22,10,1400,92.8662,0.0014821
Platinum,25,10,500,73.6464,0.0006259
Silver,28,2,120,66.9018,0.0011672
Gold,38,16,730,97.992,0.0011768
Platinum,23,6,400,86.7768,0.0011094
Silver,34,8,400,35.3136,0.00035855
Gold,26,6,400,56.5494,0.0010254
Diamond,23,2,100,69.303,0.00062875
Silver,16,12,120,64.3296,0.0003318
Gold,16,14,730,84.624,0.00048239
Master,21,10,800,152.8692,0.0005835
Bronze,16,8,70,45.2916,0.00053369
Bronze,27,2,250,37.7802,0.00031644
Bronze,16,10,200,92.2266,0.00030379
Gold,24,8,700,81.03,0.00069435
Gold,22,12,700,103.506,0.00083681
Diamond,24,10,300,90.7506,0.001278
Bronze,28,8,120,44.2218,0.00034467
Platinum,24,16,700,123.576,0.0013407
Master,21,28,500,168.9336,0.00099253
Platinum,27,16,1000,131.061,0.0017725
Master,19,36,1800,130.1214,0.0010238
Silver,20,4,50,94.2618,0.00048123
Diamond,18,24,730,131.9376,0.0021329
Master,18,16,350,151.8066,0.0021306
Diamond,25,10,730,125.532,0.00028439
